iter	Logloss	Accuracy
0	0.6189083382	0.8955223881
1	0.5611076225	0.9552238806
2	0.5241882151	0.9651741294
3	0.4848722053	0.9651741294
4	0.44687532	0.9701492537
5	0.4132517102	0.9701492537
6	0.3839841768	0.960199005
7	0.3547626837	0.9751243781
8	0.3300626983	0.9651741294
9	0.3106854244	0.9701492537
10	0.2922602059	0.9800995025
11	0.2778405663	0.9800995025
12	0.2580403543	0.9800995025
13	0.2417525657	0.9800995025
14	0.2293924787	0.9850746269
15	0.2202319511	0.9850746269
16	0.2077139012	0.9850746269
17	0.1992886234	0.9850746269
18	0.1923040741	0.9850746269
19	0.1827759949	0.9850746269
20	0.1753332908	0.9900497512
21	0.1687988724	0.9900497512
22	0.1624542984	0.9950248756
23	0.1557562797	0.9950248756
24	0.150674462	0.9950248756
25	0.1466354396	0.9950248756
26	0.1408327989	0.9950248756
27	0.1347608984	0.9950248756
28	0.1276798952	0.9950248756
29	0.124240429	0.9950248756
30	0.1222266946	0.9950248756
31	0.1176243324	0.9950248756
32	0.1149011559	0.9950248756
33	0.110697733	0.9950248756
34	0.1070485356	0.9950248756
35	0.1034858052	0.9950248756
36	0.09970276176	0.9950248756
37	0.09652061979	0.9950248756
38	0.09395832751	0.9950248756
39	0.0918069942	0.9950248756
40	0.08836507826	0.9950248756
41	0.08600843214	0.9950248756
42	0.08379884459	0.9950248756
43	0.08201095708	0.9950248756
44	0.08017054175	0.9950248756
45	0.07747382529	0.9950248756
46	0.07540504411	0.9950248756
47	0.07336985422	0.9950248756
48	0.07141064037	0.9950248756
49	0.06945583027	0.9950248756
50	0.06787601188	1
51	0.06602468974	1
52	0.06374670809	1
53	0.06218093227	1
54	0.06128500213	1
55	0.05957058494	1
56	0.05845125066	1
57	0.05694315871	1
58	0.05596927922	1
59	0.05499831429	1
60	0.0537014598	1
61	0.0527473267	1
62	0.05159408334	1
63	0.05087997223	1
64	0.049772157	1
65	0.0488090869	1
66	0.04780585216	1
67	0.04696023613	1
68	0.04586713346	1
69	0.04504655685	1
70	0.04410833616	1
71	0.04327311278	1
72	0.04248088616	1
73	0.04163261186	1
74	0.04078569272	1
75	0.03978941275	1
76	0.03907856403	1
77	0.03850306601	1
78	0.03760445248	1
79	0.03682034793	1
80	0.03606082435	1
81	0.03532454843	1
82	0.03460859997	1
83	0.03411562629	1
84	0.03329698337	1
85	0.03259818069	1
86	0.03178860468	1
87	0.03126351885	1
88	0.03078561297	1
89	0.03013861961	1
90	0.0295583918	1
91	0.02901782783	1
92	0.0285186615	1
93	0.02797112379	1
94	0.02751145932	1
95	0.02703942919	1
96	0.02656400574	1
97	0.02605331127	1
98	0.02561368778	1
99	0.02520627425	1
100	0.02482467885	1
101	0.02444743351	1
102	0.02405857454	1
103	0.02365945179	1
104	0.02329784819	1
105	0.02282536667	1
106	0.02247022052	1
107	0.02210172229	1
108	0.02172147113	1
109	0.02141154863	1
110	0.02112341957	1
